,canonicalUrl,description,image,name,price,rating.averageRating,rating.numberOfReviews
32,/ip/Hisense-43-Class-4K-UHD-LED-LCD-Roku-Smart-TV-HDR-R6-Series-43R6E3/213300402?athbdg=L1100,"Hisense Roku 43"" R6E1 Series 4K UHD HDR Smart TV 43R6E3",https://i5.walmartimages.com/asr/9bbfd5a6-07ad-4660-90ef-2b9217443dba.ac35f5dbcdff7e5f0e3342185ac6d709.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Hisense 43"" Class 4K UHD LED LCD Roku Smart TV HDR R6 Series 43R6E3",228.0,4.4,609.0
33,/ip/TCL-50-Class-4-Series-4K-UHD-HDR-Smart-Roku-TV-50S451/887644368?athbdg=L1100,Tcl Merchandise,https://i5.walmartimages.com/asr/4bbb94dd-89c5-4ac8-a79a-843d16360ec0.13045dbc094bba5844dab2413d33578d.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 50"" Class 4-Series 4K UHD HDR Smart Roku TV - 50S451",248.0,3.9,3062.0
34,/ip/JVC-43-Class-4K-UHD-2160p-LED-Roku-Smart-TV-LT-43MAW595/834265910,<li>Model No : JVCLT43MAW595</li><li>Brand : JVC(R)</li><li>UPC : 46838080548</li><li>43IN 4K LED ROKU TV</li><li>Country of Origin is : CHINA</li>,https://i5.walmartimages.com/asr/e4870569-a601-4019-b729-54984fbde289.21a50f924aa6949dfdf80e9a5ecefd74.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"JVC 43"" Class 4K UHD 2160p LED Roku Smart TV LT-43MAW595",248.0,4.3,913.0
35,/ip/onn-43-Class-FHD-1080P-LED-Roku-Smart-TV-100069992/133233037,"<li>onn. 43 Class FHD (1080P) LED Roku Smart TV (100069992): Roku streaming, crisp 1080p resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/28c762c2-24a7-4b12-9eee-f362faf9559f.842b03aa6287c3a6ecc5566adaef7afe.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 43 Class FHD (1080P) LED Roku Smart TV (100069992),248.89,4.1,368.0
36,/ip/SAMSUNG-43-Class-TU690T-Crystal-UHD-4K-Smart-TV-powered-by-Tizen-UN43TU690TFXZA-2022/1668182216?athbdg=L1100,<li>Watch what you love upgraded to 4K resolution with this blazing fast processor. See your content the way it was intended thanks to the powerful 4K upscaling of the Crystal Processor 4K. The best</li>,https://i5.walmartimages.com/asr/6384261e-34ed-495d-9650-42a54237862a.3b04614be0e0f926ab2163df9d1cc927.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"SAMSUNG 43"" Class TU690T Crystal UHD 4K Smart TV powered by Tizen UN43TU690TFXZA 2022",249.99,5.0,2.0
37,/ip/Sceptre-55-Class-4K-UHD-LED-TV-HDR-U550CV-U/46784939?athbdg=L1100,"<li>54.64"" diagonal screen size</li><li>HDMI Inputs</li><li>Wall-mountable</li><li>Smart functionality: No</li>",https://i5.walmartimages.com/asr/5533a95f-7ad0-41f8-8617-83025074f181.62e087710ccc3d123512c505d6736bd5.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"Sceptre 55"" Class 4K UHD LED TV HDR U550CV-U",258.0,3.9,4996.0
38,/ip/Samsung-40-Class-N5200-Smart-Full-HD-TV-2019-UN40N5200AFXZA/697559735,"<li>HDMI:2, USB:1,</li><li>Motion Rate:60</li><li>Product Size (W x H x D) Without Stand:36.3"" x 20.9"" x 2.9""</li><li>Product Size (W x H x D) With Stand:36.3"" x 21.8"" x 6.7""</li><li>Stand Size</li>",https://i5.walmartimages.com/asr/f193075a-e1b9-405b-9b84-f1ea97a61f6c_1.b75ef5d998f996e32d919d2057cb3da7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Samsung 40"" Class N5200 Smart Full HD TV (2019), UN40N5200AFXZA",267.99,4.5,2064.0
39,/ip/onn-55-Class-4K-UHD-2160P-LED-Roku-Smart-TV-HDR-100012586/201216466?athbdg=L1100,"<li>onn. 55 Class 4K UHD (2160P) LED Roku Smart TV HDR (100012586): Roku streaming, crisp 4K (2160p) resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/881a4db6-f5be-45cd-8c5d-a845f4dac4db.b2c106aec7b72e59ecb5608654100573.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 55 Class 4K UHD (2160P) LED Roku Smart TV HDR (100012586),268.0,4.3,1739.0
40,/ip/VIZIO-43-Class-V-Series-4K-UHD-LED-Smart-TV-V435-J01/103263240?athbdg=L1100,<li>4K Ultra HD</li><li>Dolby Vision HDR and HDR10</li><li>Full Array Backlight</li>,https://i5.walmartimages.com/asr/5db82745-c26c-409c-823f-9596eada5555.bdc2a6e3be2f446317ff84eaa965a8a8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 43"" Class V-Series 4K UHD LED Smart TV V435-J01",268.0,4.4,9708.0
41,/ip/Hisense-50-Class-4K-UHD-LED-LCD-Roku-Smart-TV-HDR-R6-Series-50R6E3/298384909?athbdg=L1100,"Hisense Roku 50"" R6E Series 4K UHD HDR Smart TV 50R6E3",https://i5.walmartimages.com/asr/9bbfd5a6-07ad-4660-90ef-2b9217443dba.ac35f5dbcdff7e5f0e3342185ac6d709.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Hisense 50"" Class 4K UHD LED LCD Roku Smart TV HDR R6 Series 50R6E3",278.0,4.3,1623.0
